100000 1 0.011704 0.011820 0.011798 33332833335000.0000000000 33332833335000.0000000000 33332833335000.0000000000
100000 2 0.011706 0.006175 0.006134 33332833335000.0000000000 33332833335000.0000000000 33332833335000.0000000000
100000 4 0.011714 0.003428 0.003383 33332833335000.0000000000 33332833335000.0000000000 33332833335000.0000000000
100000 8 0.011708 0.002422 0.002283 33332833335000.0000686646 33332833335000.0000686646 33332833335000.0000000000
100000 16 0.011705 0.002682 0.002416 33332833335000.0002040863 33332833335000.0002040863 33332833335000.0000000000
100000 20 0.011702 0.011533 0.003067 33332833335000.0002555847 33332833335000.0002574921 33332833335000.0000000000
1000000 1 0.116824 0.116842 0.116901 33333283333350000.0000000000 33333283333350000.0000000000 33333283333350000.0000000000
1000000 2 0.116918 0.058959 0.058683 33333283333350000.0000000000 33333283333350000.0000000000 33333283333350000.0000000000
1000000 4 0.116762 0.029699 0.029630 33333283333350000.0039062500 33333283333350000.0039062500 33333283333350000.0000000000
1000000 8 0.117291 0.015774 0.015403 33333283333350000.0039062500 33333283333350000.0039062500 33333283333350000.0000000000
1000000 16 0.116812 0.009677 0.009006 33333283333350000.0097656250 33333283333350000.0078125000 33333283333350000.0000000000
1000000 20 0.116830 0.008931 0.008284 33333283333350000.0078125000 33333283333350000.0078125000 33333283333350000.0000000000
10000000 1 1.364609 1.367079 1.367228 33333328333332967832.0000000000 33333328333332967832.0000000000 33333328333332967832.0000000000
10000000 2 1.356446 0.702241 0.701721 33333328333333126278.0000000000 33333328333333126278.0000000000 33333328333332967832.0000000000
10000000 4 1.360198 0.575760 0.644586 33333328333333420956.0000000000 33333328333333420956.0000000000 33333328333332967832.0000000000
10000000 8 1.349155 0.541968 0.570182 33333328333333490942.0000000000 33333328333333490940.0000000000 33333328333332967832.0000000000
10000000 16 1.356602 0.533581 0.533351 33333328333333500000.0000000000 33333328333333500000.0000000000 33333328333332967832.0000000000
10000000 20 1.355288 0.525233 0.524474 33333328333333500000.0000000000 33333328333333500000.0000000000 33333328333332967832.0000000000
100000000 1 13.563752 13.570939 13.573865 33333332833333726906368.0000000000 33333332833333726906368.0000000000 33333332833333726906368.0000000000
100000000 2 13.601609 6.957067 6.959351 33333332833333661513728.0000000000 33333332833333661513728.0000000000 33333332833333726906368.0000000000
100000000 4 13.548544 6.328959 6.326373 33333332833333571491840.0000000000 33333332833333571491840.0000000000 33333332833333726906368.0000000000
100000000 8 13.483484 5.637108 5.632336 33333332833333495382016.0000000000 33333332833333495384064.0000000000 33333332833333726906368.0000000000
100000000 16 13.508260 4.522153 4.446623 33333332833333438580736.0000000000 33333332833333438580736.0000000000 33333332833333726906368.0000000000
100000000 20 13.461255 5.218277 5.247651 33333332833333424066560.0000000000 33333332833333424066560.0000000000 33333332833333726906368.0000000000
1000000000 1 135.277860 134.782604 134.656594 33333333283333474508341248.0000000000 33333333283333474508341248.0000000000 33333333283333474508341248.0000000000
1000000000 2 135.603766 69.869292 69.857452 33333333283333454736392192.0000000000 33333333283333454736392192.0000000000 33333333283333474508341248.0000000000
1000000000 4 134.570124 65.319576 65.266709 33333333283333426796036096.0000000000 33333333283333426798133248.0000000000 33333333283333474508341248.0000000000
1000000000 8 134.826211 56.498046 56.480002 33333333283333401833635840.0000000000 33333333283333401831538688.0000000000 33333333283333474508341248.0000000000
1000000000 16 135.912393 45.104129 44.819152 33333333283333382791495680.0000000000 33333333283333382791495680.0000000000 33333333283333474508341248.0000000000
1000000000 20 135.145592 49.909794 50.067944 33333333283333377280180224.0000000000 33333333283333377284374528.0000000000 33333333283333474508341248.0000000000
