100000 1 0.011718 0.011808 0.011803 33332833335000.0000000000 33332833335000.0000000000 33332833335000.0000000000
100000 2 0.011706 0.006167 0.006138 33332833335000.0000000000 33332833335000.0000000000 33332833335000.0000000000
100000 4 0.011698 0.003433 0.003358 33332833335000.0000000000 33332833335000.0000000000 33332833335000.0000000000
100000 8 0.011713 0.002439 0.002261 33332833335000.0000686646 33332833335000.0000686646 33332833335000.0000000000
100000 16 0.011708 0.002733 0.002513 33332833335000.0002040863 33332833335000.0002021790 33332833335000.0000000000
100000 20 0.011710 0.090827 0.002980 33332833335000.0002555847 33332833335000.0002555847 33332833335000.0000000000
1000000 1 0.117231 0.117291 0.117278 33333283333350000.0000000000 33333283333350000.0000000000 33333283333350000.0000000000
1000000 2 0.116876 0.058910 0.058678 33333283333350000.0000000000 33333283333350000.0000000000 33333283333350000.0000000000
1000000 4 0.116828 0.029960 0.029674 33333283333350000.0039062500 33333283333350000.0039062500 33333283333350000.0000000000
1000000 8 0.117337 0.015898 0.015395 33333283333350000.0039062500 33333283333350000.0039062500 33333283333350000.0000000000
1000000 16 0.117213 0.009824 0.009091 33333283333350000.0078125000 33333283333350000.0078125000 33333283333350000.0000000000
1000000 20 0.116870 0.008980 0.008248 33333283333350000.0078125000 33333283333350000.0078125000 33333283333350000.0000000000
10000000 1 1.359486 1.360246 1.360736 33333328333332967832.0000000000 33333328333332967832.0000000000 33333328333332967832.0000000000
10000000 2 1.357528 0.697588 0.697621 33333328333333126278.0000000000 33333328333333126278.0000000000 33333328333332967832.0000000000
10000000 4 1.344817 0.647400 0.646631 33333328333333420956.0000000000 33333328333333420956.0000000000 33333328333332967832.0000000000
10000000 8 1.350163 0.566099 0.565700 33333328333333490940.0000000000 33333328333333490940.0000000000 33333328333332967832.0000000000
10000000 16 1.362882 0.541681 0.539976 33333328333333500000.0000000000 33333328333333500000.0000000000 33333328333332967832.0000000000
10000000 20 1.343738 0.593553 0.552304 33333328333333500000.0000000000 33333328333333500000.0000000000 33333328333332967832.0000000000
