processes,size,iterations,eigenvalue,runtime
1,10000,300,9985.355091,36.270124
2,10000,300,9985.355091,18.354898
4,10000,300,9985.355091,9.402712
8,10000,300,9985.355091,5.062054
16,10000,300,9985.355091,3.090756

