processes,size,iterations,eigenvalue,runtime
1,10000,300,9985.355091,36.217633
2,10000,300,9985.355091,18.230096
4,10000,300,9985.355091,9.272791
8,10000,300,9985.355091,4.918562
16,10000,300,9985.355091,2.684985
20,10000,300,9985.355091,2.230298
